id,user_name,call_1,call_2,call_3,call_4,memo
2572,user2572,09025586309,09042615684,09007307944,09085749027,memo2572
2594,user2594,09079607171,09009135950,09077132569,09079991325,memo2594
2635,user2635,09025951598,09049899101,09086770949,09035607485,memo2635
2663,user2663,09068189905,09043083049,09009345292,09090915971,memo2663
2683,user2683,09092671917,09052641727,09059324902,09025325494,memo2683
2777,user2777,09065034606,09084211647,09053279939,09052774466,memo2777
2883,user2883,09088569413,09079325311,09075883333,09030985098,memo2883
2922,user2922,09047638230,09069348332,09053443020,09087511486,memo2922
2988,user2988,09087361408,09027047394,09008992919,09080765044,memo2988
3011,user3011,09037992279,09031356503,09025707178,09041245602,memo3011
3020,user3020,09061947508,09048852066,09005350001,09095297978,memo3020
3035,user3035,09031265311,09033275223,09043686276,09019790765,memo3035
3159,user3159,09097035588,09046738222,09027341454,09009189700,memo3159
3188,user3188,09067918277,09095537090,09061014375,09074629667,memo3188
3197,user3197,09087430036,09064733897,09087477088,09039412139,memo3197
3211,user3211,09018876713,09074684307,09035323295,09069671631,memo3211
3234,user3234,09006010366,09093284185,09066622735,09084906956,memo3234
3275,user3275,09074710454,09063044295,09074726038,09037305072,memo3275
3297,user3297,09047325704,09036086455,09024483258,09020875068,memo3297
3352,user3352,09040117436,09002642662,09070514833,09053994007,memo3352
3415,user3415,09001872171,09088969565,09097462993,09094938109,memo3415
3507,user3507,09096707753,09004425130,09089441109,09053285095,memo3507
3584,user3584,09020913280,09071878578,09013253223,09064573693,memo3584
3603,user3603,09059646193,09032237364,09012541471,09098581056,memo3603
3638,user3638,09023464774,09021418935,09087267946,09064460153,memo3638
3661,user3661,09095591674,09078073669,09068208794,09027126165,memo3661
3766,user3766,09026468396,09009436331,09069182719,09005542245,memo3766
3789,user3789,09042723637,09064677604,09052591273,09039561026,memo3789
3796,user3796,09027251654,09099444014,09003300734,09000940569,memo3796
3882,user3882,09037577954,09055112513,09026128381,09025395400,memo3882
3972,user3972,09082005981,09037139908,09024304297,09056109290,memo3972
4048,user4048,09083043516,09002445055,09076371824,09008042830,memo4048
4103,user4103,09099490623,09039156923,09031976129,09079714646,memo4103
4104,user4104,09052983261,09031912502,09023460287,09018745732,memo4104
4122,user4122,09038381613,09091294242,09082950926,09060670173,memo4122
4129,user4129,09072398259,09090744496,09069369986,09047034560,memo4129
4142,user4142,09099157103,09013529692,09049936485,09015598485,memo4142
4172,user4172,09053133965,09054522450,09048307242,09074808313,memo4172
4215,user4215,09068345380,09043983533,09068231581,09026031074,memo4215
4294,user4294,09018684758,09069495496,09092971692,09070882175,memo4294
4330,user4330,09004799581,09024580643,09027533176,09049168609,memo4330
4370,user4370,09031044030,09088352546,09092653272,09055704023,memo4370
4433,user4433,09020217607,09016486702,09005967669,09058388889,memo4433
4457,user4457,09034673116,09049446555,09066848937,09026937576,memo4457
4466,user4466,09028657215,09049323651,09029632339,09079748619,memo4466
4484,user4484,09031164615,09028824682,09088087976,09038697065,memo4484
4582,user4582,09047374073,09000339484,09002123912,09023874241,memo4582
4585,user4585,09050252140,09045665443,09034749485,09056991288,memo4585
4599,user4599,09055343193,09035029119,09054263829,09042832035,memo4599
4628,user4628,09070460879,09093524019,09099349528,09089390045,memo4628
4897,user4897,09081958364,09005460295,09010460998,09015511569,memo4897
4940,user4940,09053527927,09021355954,09065360949,09002958814,memo4940
5011,user5011,09009132517,09090393174,09000706311,09067254030,memo5011
5078,user5078,09037508781,09099408742,09098875100,09068691962,memo5078
5087,user5087,09025633276,09071039886,09091683604,09020996380,memo5087
5105,user5105,09096369027,09043296703,09032346250,09073238300,memo5105
5138,user5138,09023893507,09092494426,09045917016,09023777358,memo5138
5141,user5141,09098468139,09064357268,09063689520,09031132312,memo5141
5151,user5151,09058236439,09097081528,09098207425,09042022425,memo5151
5156,user5156,09071819833,09095663918,09084907931,09000062014,memo5156
5165,user5165,09065846204,09018494075,09080965370,09020014645,memo5165
5173,user5173,09023457808,09057467675,09037046662,09016063459,memo5173
5210,user5210,09094840644,09078107753,09014827136,09094999050,memo5210
5233,user5233,09000201231,09008235889,09034839274,09040719355,memo5233
5238,user5238,09003473808,09081089348,09063949913,09081184851,memo5238
5274,user5274,09068549860,09043760894,09060506418,09067466671,memo5274
5278,user5278,09017487542,09036905022,09067556513,09021153992,memo5278
5417,user5417,09014196730,09035723486,09048841941,09021205998,memo5417
5465,user5465,09074726038,09047958937,09002288080,09066996540,memo5465
5476,user5476,09029410411,09044801998,09053295432,09009371509,memo5476
5482,user5482,09090396443,09003905459,09043456683,09099850655,memo5482
5514,user5514,09067887526,09004916016,09051835379,09051768277,memo5514
5573,user5573,09057285138,09073247873,09087511486,09070391965,memo5573
5631,user5631,09023511003,09046211329,09074761487,09023495109,memo5631
5704,user5704,09081648318,09072932423,09082044829,09017551632,memo5704
5710,user5710,09040654501,09039949484,09042800626,09061106179,memo5710
5749,user5749,09045161345,09011912835,09013048417,09069128781,memo5749
5764,user5764,09055110559,09009429180,09070506124,09088023217,memo5764
5781,user5781,09089991260,09025231881,09010795679,09078113441,memo5781
5797,user5797,09006276527,09073568950,09026995382,09025299487,memo5797
5930,user5930,09023312898,09091479115,09086443694,09043191720,memo5930
6108,user6108,09008816450,09083564219,09016159934,09045840505,memo6108
6118,user6118,09044390412,09018609184,09035067604,09039412139,memo6118
6125,user6125,09025348456,09087067019,09007324741,09000930041,memo6125
6138,user6138,09074472050,09059918495,09042906972,09032080903,memo6138
6151,user6151,09090416549,09052749105,09047054505,09090149801,memo6151
6157,user6157,09018007899,09088005868,09039713732,09041672270,memo6157
6291,user6291,09034059032,09043365703,09034538403,09046419670,memo6291
6323,user6323,09042364300,09047888071,09081481169,09083455503,memo6323
6325,user6325,09070358672,09026340024,09009874898,09028573696,memo6325
6357,user6357,09027845325,09003653501,09020847960,09004700323,memo6357
6360,user6360,09008239917,09067357152,09008512928,09060079426,memo6360
6470,user6470,09091616642,09057086307,09099345702,09030458932,memo6470
6502,user6502,09097945267,09017305374,09073605440,09094126168,memo6502
6520,user6520,09086920285,09035857027,09063147481,09004426705,memo6520
6581,user6581,09028004202,09008797311,09074391415,09044178677,memo6581
6771,user6771,09080601064,09031157036,09004554196,09026414445,memo6771
6938,user6938,09001306297,09033674075,09018407420,09013799906,memo6938
7052,user7052,09032686923,09054589828,09084263246,09053592406,memo7052
7097,user7097,09081127276,09044182671,09039617140,09097245171,memo7097
7254,user7254,09083782081,09079420752,09087856989,09023496308,memo7254
7261,user7261,09031708114,09052983261,09074639667,09064519147,memo7261
7304,user7304,09030448896,09068866668,09085818805,09011351760,memo7304
7312,user7312,09090627443,09065184436,09042493856,09061607863,memo7312
7347,user7347,09044438871,09091326145,09026162491,09003019972,memo7347
7464,user7464,09006252463,09025559338,09003203918,09028343245,memo7464
7479,user7479,09042365015,09039255636,09078331751,09062369720,memo7479
7493,user7493,09078835032,09090906833,09034423572,09089633053,memo7493
7498,user7498,09065461464,09016368303,09003362079,09099045555,memo7498
7559,user7559,09072172404,09032657792,09071007941,09083338794,memo7559
7612,user7612,09011969640,09039944487,09026717930,09074006868,memo7612
7659,user7659,09027743147,09070355579,09006050779,09048613737,memo7659
7738,user7738,09092146217,09031446462,09012686633,09005351732,memo7738
7755,user7755,09093579270,09069132032,09011990061,09093262899,memo7755
7790,user7790,09095389483,09018708774,09043447491,09036812766,memo7790
7879,user7879,09058632884,09023533005,09083795570,09068865626,memo7879
7883,user7883,09008299467,09076658679,09061863969,09073554706,memo7883
7927,user7927,09069039444,09063965721,09073833064,09074622649,memo7927
8050,user8050,09007820819,09001814016,09065819289,09065554511,memo8050
8197,user8197,09088612191,09062271881,09094599058,09033862844,memo8197
8265,user8265,09089457348,09043361007,09008397549,09094639563,memo8265
8386,user8386,09095426536,09037809976,09016142369,09074472050,memo8386
8404,user8404,09030122164,09090802681,09063447449,09022940931,memo8404
8432,user8432,09044420248,09099837838,09040812863,09047303255,memo8432
8496,user8496,09013084953,09052146996,09074354256,09016760402,memo8496
8503,user8503,09054259874,09001037268,09052352131,09089232339,memo8503
8556,user8556,09049361944,09055963897,09023918580,09014114176,memo8556
8605,user8605,09077851318,09020416527,09081191380,09095428955,memo8605
8637,user8637,09000080844,09027819566,09055657686,09026719981,memo8637
8657,user8657,09032954650,09012378870,09003078919,09088146370,memo8657
8661,user8661,09017368289,09027756361,09069812864,09042364022,memo8661
8718,user8718,09071393366,09045739254,09020076455,09049866846,memo8718
8779,user8779,09086526729,09096172227,09034862191,09050099051,memo8779
8848,user8848,09040627935,09044287908,09096459627,09098273692,memo8848
8873,user8873,09058487402,09042549893,09020848416,09069492950,memo8873
8894,user8894,09082766623,09035884919,09083076257,09050302934,memo8894
8902,user8902,09043562087,09089563400,09056459227,09000703276,memo8902
8924,user8924,09060163969,09042760278,09097255862,09025729405,memo8924
8945,user8945,09060216950,09065780534,09046370329,09037328006,memo8945
8953,user8953,09028710737,09025822939,09089772948,09015378933,memo8953
8976,user8976,09089142751,09099202844,09049709741,09097316319,memo8976
8997,user8997,09063436960,09001041036,09037619338,09069366591,memo8997
9004,user9004,09083336207,09032258157,09041945142,09077116595,memo9004
9005,user9005,09016958990,09073332767,09039252454,09069983099,memo9005
9062,user9062,09002449611,09013643416,09099550244,09021494939,memo9062
9115,user9115,09098359106,09049994271,09061906942,09041298204,memo9115
9124,user9124,09015597221,09051799089,09061147075,09087189746,memo9124
9147,user9147,09007855203,09045586616,09030249459,09077940318,memo9147
9369,user9369,09048738575,09031044843,09069035963,09035109253,memo9369
9402,user9402,09098998544,09035559141,09095370413,09035751205,memo9402
9688,user9688,09009584857,09069516294,09094691695,09048993873,memo9688
9731,user9731,09023358707,09014504445,09029232277,09079191157,memo9731
9746,user9746,09003203918,09034925036,09025367828,09007606004,memo9746
9756,user9756,09048125927,09006080476,09076987230,09088516684,memo9756
9805,user9805,09050847915,09081736055,09001324081,09086416323,memo9805
9810,user9810,09061182239,09017607623,09012286544,09067696993,memo9810
9984,user9984,09058204526,09021898293,09020656020,09025214628,memo9984
10041,user10041,09015630493,09056927166,09062896171,09065236574,memo10041
10150,user10150,09095120469,09033295014,09073469852,09046383897,memo10150
10206,user10206,09073560926,09036961444,09062463315,09083580187,memo10206
10216,user10216,09096480118,09027238672,09064956066,09061623646,memo10216
10304,user10304,09051785967,09021418935,09000430835,09025044102,memo10304
10366,user10366,09044645856,09015032515,09096118212,09000589599,memo10366
10439,user10439,09092687202,09074883049,09023864741,09047360505,memo10439
10449,user10449,09027054660,09018192052,09060304978,09060860946,memo10449
10512,user10512,09047495988,09041335039,09038768964,09020239054,memo10512
10527,user10527,09093759046,09093944369,09070907007,09034090805,memo10527
10589,user10589,09087321313,09093764690,09067466671,09038045263,memo10589
10686,user10686,09074080720,09011708705,09064136805,09035516973,memo10686
10696,user10696,09077819173,09044473657,09007368235,09006929686,memo10696
10787,user10787,09051150472,09028101426,09010017083,09067851733,memo10787
10796,user10796,09083329588,09016857175,09050075060,09087516494,memo10796
10803,user10803,09004218897,09056245039,09058342294,09032548277,memo10803
10860,user10860,09049046829,09073605440,09077621904,09043939637,memo10860
10890,user10890,09025896420,09029571888,09085080976,09091845493,memo10890
10953,user10953,09053335013,09020866939,09027777154,09075674529,memo10953
10990,user10990,09020514134,09096339697,09012378870,09090850568,memo10990
11067,user11067,09084889194,09075338204,09095168066,09010820583,memo11067
11081,user11081,09081999590,09024104177,09086090017,09080509709,memo11081
11131,user11131,09095115762,09047316490,09014493920,09092563643,memo11131
11171,user11171,09031143764,09001791880,09047841603,09009232512,memo11171
11692,user11692,09013372476,09098634015,09066698097,09041411224,memo11692
11779,user11779,09020295579,09060300084,09095681788,09039766489,memo11779
11801,user11801,09071632613,09015964164,09084851814,09029849856,memo11801
11814,user11814,09049478053,09096084099,09077193155,09070907007,memo11814
11843,user11843,09073189666,09067466355,09013386196,09062888276,memo11843
11877,user11877,09045132231,09037014896,09025395400,09061138771,memo11877
11936,user11936,09057765143,09010586915,09031250689,09047832091,memo11936
11996,user11996,09031863489,09024821516,09029683668,09001037268,memo11996
12271,user12271,09021222569,09011448331,09058098377,09043812329,memo12271
12310,user12310,09025342952,09060044476,09029859820,09036403963,memo12310
12340,user12340,09006230705,09090289154,09075103193,09068627468,memo12340
12344,user12344,09021965047,09012505430,09066352725,09097055559,memo12344
12347,user12347,09077484430,09027918362,09054046950,09002734286,memo12347
12388,user12388,09095754133,09003763730,09046499650,09092535607,memo12388
12559,user12559,09044507621,09044976678,09091714105,09027797963,memo12559
12673,user12673,09081003758,09071060593,09045355307,09045612431,memo12673
12695,user12695,09044330793,09030712807,09004893885,09024509144,memo12695
12717,user12717,09039940681,09033225353,09001577719,09073889496,memo12717
12753,user12753,09017128864,09043518008,09062288415,09014299643,memo12753
12828,user12828,09002449611,09006811318,09012657153,09035556151,memo12828
12851,user12851,09005068351,09009532739,09032380005,09011999256,memo12851
12878,user12878,09095108206,09062255654,09027573303,09039874976,memo12878
13088,user13088,09086581013,09051027462,09025728057,09019142883,memo13088
13100,user13100,09038788345,09005038625,09060502137,09028883075,memo13100
13150,user13150,09066703025,09079642821,09086627735,09046045768,memo13150
13219,user13219,09003208755,09005703500,09059767693,09095328316,memo13219
13328,user13328,09008440542,09030302808,09090233386,09044525224,memo13328
13388,user13388,09097851404,09034106651,09038874252,09095352957,memo13388
13392,user13392,09013732272,09035880820,09023508354,09062546639,memo13392
13447,user13447,09081860267,09021723300,09012787364,09001253005,memo13447
13526,user13526,09083701669,09081490605,09024214680,09036500334,memo13526
13542,user13542,09025519285,09078998179,09017773727,09056269095,memo13542
13556,user13556,09048008605,09031806678,09068284670,09013176825,memo13556
13673,user13673,09002256759,09086376290,09037515104,09079118862,memo13673
13703,user13703,09025875441,09007281451,09010017083,09092591301,memo13703
13870,user13870,09026773873,09008204978,09093419849,09025862214,memo13870
13874,user13874,09027972539,09098665920,09008440445,09049141258,memo13874
13882,user13882,09054019347,09038956181,09012285741,09033111230,memo13882
13893,user13893,09011172710,09039396297,09012733991,09078935282,memo13893
13899,user13899,09076895862,09058391104,09032515258,09052541482,memo13899
13991,user13991,09099138453,09014829797,09019442911,09079226069,memo13991
13998,user13998,09086524250,09018192052,09045407735,09016557906,memo13998
14113,user14113,09014172257,09089551444,09080394998,09000103881,memo14113
14176,user14176,09044686947,09014444266,09015201349,09013166057,memo14176
14185,user14185,09063629595,09001907060,09099270672,09074084382,memo14185
14199,user14199,09002364397,09017634957,09047730257,09046081518,memo14199
14205,user14205,09064561117,09073822385,09027740009,09020217607,memo14205
14246,user14246,09039367004,09012248102,09088136298,09003102053,memo14246
14310,user14310,09056991288,09012023328,09067777802,09007197383,memo14310
14378,user14378,09001203958,09097066831,09032136301,09030749176,memo14378
14384,user14384,09068460661,09078891575,09064740631,09006090558,memo14384
14437,user14437,09031984282,09022737420,09002428352,09092146217,memo14437
14518,user14518,09057381233,09031081568,09074747813,09094901729,memo14518
14835,user14835,09046108247,09023453667,09098490720,09094092246,memo14835
14867,user14867,09048841941,09051874315,09052500819,09018761848,memo14867
14899,user14899,09011866200,09049705801,09063677817,09023935425,memo14899
14969,user14969,09051423168,09049237890,09014243424,09063067136,memo14969
14975,user14975,09082950926,09057134010,09024911944,09056242501,memo14975
14984,user14984,09087675385,09069999440,09021968229,09058180775,memo14984
15060,user15060,09005464062,09073461931,09051895679,09006935846,memo15060
15110,user15110,09087090616,09048352097,09020813458,09050584161,memo15110
15252,user15252,09059643629,09014559325,09068164506,09030244767,memo15252
15355,user15355,09085823599,09051649375,09094458786,09002127729,memo15355
15405,user15405,09043165980,09099181029,09084429252,09073675445,memo15405
15477,user15477,09070577661,09068117204,09048008605,09026714724,memo15477
15509,user15509,09040567830,09072082009,09069908200,09089239398,memo15509
15619,user15619,09042800610,09052962843,09075680920,09060062846,memo15619
15726,user15726,09082089890,09088719309,09049751180,09089236923,memo15726
15740,user15740,09048014833,09009375302,09002364397,09085154652,memo15740
15754,user15754,09021240399,09028465038,09076531438,09051867126,memo15754
15801,user15801,09089251279,09027676586,09074456369,09070813906,memo15801
15810,user15810,09084267645,09052396880,09055211509,09029248061,memo15810
15933,user15933,09022971343,09049428997,09092625502,09043771068,memo15933
16043,user16043,09077762152,09049520378,09075643507,09084846303,memo16043
16063,user16063,09010528777,09081736055,09001555003,09051312375,memo16063
16074,user16074,09040499767,09030182403,09088925502,09055060084,memo16074
16191,user16191,09001505825,09042188469,09078155808,09013772002,memo16191
16253,user16253,09020047142,09040604414,09034282257,09054009365,memo16253
16383,user16383,09070017387,09056242136,09089851585,09064542116,memo16383
16434,user16434,09037121215,09036656930,09055764739,09057016312,memo16434
16496,user16496,09033558277,09003102053,09068176591,09075055534,memo16496
16659,user16659,09097755088,09023648809,09000769651,09084758921,memo16659
16733,user16733,09086879175,09015191713,09093324450,09030504782,memo16733
16811,user16811,09089050267,09075241621,09014044243,09034033691,memo16811
16818,user16818,09048373207,09085475667,09046894360,09079900108,memo16818
16871,user16871,09099280282,09006564581,09031757720,09034252203,memo16871
16906,user16906,09077762152,09053161168,09087565042,09033357108,memo16906
16911,user16911,09054936734,09074760441,09034057803,09093247519,memo16911
16981,user16981,09045596462,09089905800,09060483495,09094076754,memo16981
16983,user16983,09055818816,09073484376,09022017764,09001419808,memo16983
16989,user16989,09056490785,09062463315,09044751594,09081724314,memo16989
17109,user17109,09088423046,09047270101,09009388112,09092706768,memo17109
17229,user17229,09002797280,09038414856,09050683461,09042012606,memo17229
17302,user17302,09098273692,09065165441,09096384702,09065104811,memo17302
17448,user17448,09020779164,09052813322,09050818249,09021630624,memo17448
17472,user17472,09040981766,09098290240,09049684187,09090002659,memo17472
17740,user17740,09053081316,09015194854,09060618823,09053210571,memo17740
17743,user17743,09013297619,09050854445,09059957488,09086627735,memo17743
17777,user17777,09019679129,09094121933,09022670635,09075795920,memo17777
17813,user17813,09019886518,09092235659,09036304902,09038767365,memo17813
17943,user17943,09026437363,09030985098,09046883334,09082710339,memo17943
17959,user17959,09075059759,09091208341,09021125061,09089695154,memo17959
17975,user17975,09012887473,09077619343,09002672515,09087600840,memo17975
18000,user18000,09039476295,09015629699,09099865862,09050978389,memo18000
18021,user18021,09053446212,09023131682,09000922468,09007713876,memo18021
18091,user18091,09005261107,09001084122,09063913512,09029055026,memo18091
18141,user18141,09053219953,09097636382,09085556951,09076066667,memo18141
18288,user18288,09021231800,09097709386,09029241513,09080823825,memo18288
18295,user18295,09083547592,09057068768,09028228592,09083310991,memo18295
18494,user18494,09041772563,09074781906,09039494487,09090546831,memo18494
18578,user18578,09096369027,09031627921,09020628944,09020187250,memo18578
18581,user18581,09044966559,09058951063,09040127245,09009646303,memo18581
18595,user18595,09041144281,09071189020,09083918431,09036207079,memo18595
18656,user18656,09001474577,09094769399,09005671436,09005527923,memo18656
18679,user18679,09098909955,09039525998,09031755118,09000275722,memo18679
18790,user18790,09027570900,09084514225,09033169598,09002963093,memo18790
18864,user18864,09075104560,09063259629,09001558864,09038835296,memo18864
18919,user18919,09093437109,09041710473,09022890040,09005779708,memo18919
18923,user18923,09006741082,09061942653,09009224055,09067793496,memo18923
18992,user18992,09041214663,09047281577,09089624112,09008898671,memo18992
19005,user19005,09050044497,09081535330,09036905022,09059970657,memo19005
19054,user19054,09040895998,09006310881,09061519418,09016755312,memo19054
19107,user19107,09091408967,09096522183,09093941483,09021438265,memo19107
19132,user19132,09085979699,09089890446,09012295301,09033352627,memo19132
19202,user19202,09020014645,09055426288,09025658017,09091534943,memo19202
19213,user19213,09052216925,09045699735,09055522398,09080783150,memo19213
19248,user19248,09076854306,09091796950,09004110627,09039599572,memo19248
19283,user19283,09081880356,09039646086,09059167046,09046266134,memo19283
19285,user19285,09058676056,09051768277,09094946892,09057682689,memo19285
19322,user19322,09014048529,09057110776,09058764796,09092212472,memo19322
19375,user19375,09062469653,09074075741,09071007941,09040391896,memo19375
19422,user19422,09024325676,09006026651,09017264784,09068704320,memo19422
19483,user19483,09083470712,09042022011,09059573899,09070052563,memo19483
19493,user19493,09046918991,09022966917,09085721506,09034513748,memo19493
19594,user19594,09083239637,09089226433,09042830596,09076442788,memo19594
19661,user19661,09052829018,09099670543,09032092325,09050518951,memo19661
19690,user19690,09025097584,09020216176,09030267235,09020159501,memo19690
19782,user19782,09012573973,09012884701,09009857897,09058569495,memo19782
19813,user19813,09004669590,09078952511,09093524019,09005549111,memo19813
19854,user19854,09018830675,09003202049,09032111248,09092433652,memo19854
19955,user19955,09043415166,09053893636,09069622892,09004195144,memo19955
20002,user20002,09033746574,09014853790,09072484370,09042761904,memo20002
20005,user20005,09029254974,09042366235,09030209141,09049649225,memo20005
20106,user20106,09049029495,09084997424,09097947672,09041961964,memo20106
20136,user20136,09062252177,09003235395,09068136477,09061888811,memo20136
20232,user20232,09059415854,09034576470,09054145649,09068903878,memo20232
20267,user20267,09016929918,09075884378,09047387150,09015458450,memo20267
20311,user20311,09029065175,09006094215,09016816547,09016775473,memo20311
20352,user20352,09098044477,09026921293,09063828307,09067064474,memo20352
20465,user20465,09065285806,09019807659,09078466354,09004715490,memo20465
20471,user20471,09018915460,09027840653,09054501464,09052005574,memo20471
20479,user20479,09031709404,09068661441,09060308765,09081565933,memo20479
20545,user20545,09030344579,09078243354,09024186375,09029695581,memo20545
20605,user20605,09068318579,09029358384,09097249918,09024094232,memo20605
20702,user20702,09076066667,09084010991,09002219600,09058024558,memo20702
20817,user20817,09011070881,09035165494,09031181753,09054502457,memo20817
20824,user20824,09035646441,09064229077,09055089642,09096077707,memo20824
20852,user20852,09014371733,09065515183,09059231010,09076036495,memo20852
21084,user21084,09000512849,09022511073,09086968508,09000746045,memo21084
21211,user21211,09003389937,09032215371,09039396554,09061627749,memo21211
21314,user21314,09046804514,09052222756,09068497875,09056159882,memo21314
21328,user21328,09040372215,09001031260,09074609254,09064171546,memo21328
21364,user21364,09090264818,09099581021,09068347687,09044371760,memo21364
21469,user21469,09060081706,09027819566,09015971710,09026271493,memo21469
21488,user21488,09046636397,09090619479,09021233409,09001545828,memo21488
21504,user21504,09054434587,09096221347,09071992501,09092428841,memo21504
21516,user21516,09008813012,09061412576,09083654513,09015597221,memo21516
21713,user21713,09015988770,09022041871,09045120160,09092358123,memo21713
21736,user21736,09035186431,09062546639,09093879408,09081150855,memo21736
21738,user21738,09085101678,09064732096,09009085712,09050486593,memo21738
21816,user21816,09020898661,09060003436,09034159738,09001741059,memo21816
21897,user21897,09035598472,09069464023,09071997204,09036931082,memo21897
21912,user21912,09078951041,09042346230,09089533235,09073884102,memo21912
21954,user21954,09071930445,09070126915,09063941035,09092601107,memo21954
22025,user22025,09086309004,09098512177,09007680492,09022687726,memo22025
22038,user22038,09019102393,09034196669,09096651636,09034250531,memo22038
22069,user22069,09083987273,09012210523,09070506124,09019053409,memo22069
22123,user22123,09014304355,09009150156,09022950332,09025728057,memo22123
22331,user22331,09018232723,09072244521,09066309325,09029059759,memo22331
22386,user22386,09018817646,09062566233,09063363639,09020196900,memo22386
22393,user22393,09007151632,09024908581,09073954438,09058359865,memo22393
22422,user22422,09027641350,09048950906,09084553461,09040653195,memo22422
22545,user22545,09063866146,09057261053,09085706352,09015414139,memo22545
22688,user22688,09093697520,09058990829,09061444251,09071561899,memo22688
22719,user22719,09083994075,09067364104,09045288027,09011095961,memo22719
22782,user22782,09068370137,09017945605,09047341267,09037220484,memo22782
22825,user22825,09081689344,09070358672,09008808892,09023827809,memo22825
22891,user22891,09064437748,09091590636,09095172103,09008945940,memo22891
22937,user22937,09037334965,09000779589,09097259663,09060258353,memo22937
23092,user23092,09025732706,09002734941,09012457038,09017132333,memo23092
23180,user23180,09048583652,09056569921,09000960943,09056170513,memo23180
23197,user23197,09076960925,09071532932,09054038469,09068219495,memo23197
23340,user23340,09068853523,09030746651,09023527542,09005293591,memo23340
23395,user23395,09040219292,09007458809,09092295345,09090973282,memo23395
23446,user23446,09002563868,09073967579,09022115982,09095601872,memo23446
23485,user23485,09093328799,09054814904,09015409901,09001175142,memo23485
23510,user23510,09014660919,09040625915,09013865621,09032548277,memo23510
23876,user23876,09083102896,09071170790,09044170471,09032626595,memo23876
23894,user23894,09000949794,09078942231,09057852829,09098006033,memo23894
23929,user23929,09008993226,09002288080,09090453504,09051377956,memo23929
23986,user23986,09093072956,09033131391,09046716198,09050683461,memo23986
24004,user24004,09053693247,09035504345,09071561774,09068736520,memo24004
24038,user24038,09004052993,09083201870,09016799927,09038837786,memo24038
24110,user24110,09070601495,09090199364,09085924512,09046636397,memo24110
24130,user24130,09080331178,09060095133,09014978972,09076568109,memo24130
24143,user24143,09021115055,09072596329,09002783023,09057488603,memo24143
24180,user24180,09021208259,09019861942,09009551761,09037302806,memo24180
24233,user24233,09013027786,09033191701,09004018170,09014114242,memo24233
24320,user24320,09066048088,09017890727,09008015346,09020614818,memo24320
24377,user24377,09042480252,09021664596,09040981766,09024287484,memo24377
24421,user24421,09078153928,09016063459,09073868335,09077740539,memo24421
24426,user24426,09046160249,09015379864,09004692542,09083677543,memo24426
